Station,Complex,Stop_ID,Division,Line,Stop_Name,Borough,Daytime_Routes,Structure,Latitude,Longitude,North_Label,South_Label,CBD
34 ST-HUDSON YD-7,471,726,IRT,Flushing,34 St-Hudson Yards,M,7,Subway,40.755882,-74.00191,Queens,,"Y"
34 ST-PENN STA-123,318,128,IRT,Broadway - 7Av,34 St-Penn Station,M,1 2 3,Subway,40.750373,-73.991057,Uptown & The Bronx,Downtown & Brooklyn,"Y"
34 ST-PENN STA-ACE,164,A28,IND,8th Av - Fulton St,34 St-Penn Station,M,A C E,Subway,40.752287,-73.993391,Uptown - Queens,Downtown & Brooklyn,"Y"
36 AV-NQW,5,R06,BMT,Astoria,36 Av,Q,N W,Elevated,40.756804,-73.929575,Astoria - Ditmars Blvd,Manhattan,"N"
36 ST-DNR,32,R36,BMT,4th Av,36 St,Bk,D N R,Subway,40.655144,-74.003549,Manhattan,Coney Island - Bay Ridge,"N"
36 ST-MR,272,G20,IND,Queens Blvd,36 St,Q,M R,Subway,40.752039,-73.928781,Forest Hills,Manhattan,"N"
39 AV-NQW,6,R08,BMT,Astoria,39 Av-Dutch Kills,Q,N W,Elevated,40.752882,-73.932755,Astoria - Ditmars Blvd,Manhattan,"N"
4 AV-9 ST-DFGMNR,608,R33,BMT,4th Av,4 Av-9 St,Bk,F G R,Subway,40.670847,-73.988302,Manhattan,Bay Ridge - 95 St,"N"
40 ST LOWERY ST-7,459,715,IRT,Flushing,40 St-Lowery St,Q,7,Elevated,40.743781,-73.924016,Flushing,Manhattan,"N"
42 ST-BRYANT PK-BDFM7,609,D16,IND,6th Av - Culver,42 St-Bryant Pk,M,B D F M,Subway,40.754222,-73.984569,Uptown & The Bronx - Queens,Downtown & Brooklyn,"Y"
42 ST-PORT AUTH-ACENQRS1237W,611,A27,IND,8th Av - Fulton St,42 St-Port Authority Bus Terminal,M,A C E,Subway,40.757308,-73.989735,Uptown - Queens,Downtown & Brooklyn,"Y"
45 ST-R,33,R39,BMT,4th Av,45 St,Bk,R,Subway,40.648939,-74.010006,Manhattan,Bay Ridge - 95 St,"N"
46 ST BLISS ST-7,458,714,IRT,Flushing,46 St-Bliss St,Q,7,Elevated,40.743132,-73.918435,Flushing,Manhattan,"N"
46 ST-MR,270,G18,IND,Queens Blvd,46 St,Q,M R,Subway,40.756312,-73.913333,Forest Hills,Manhattan,"N"
47-50 STS ROCK-BDFM,225,D15,IND,6th Av - Culver,47-50 Sts-Rockefeller Ctr,M,B D F M,Subway,40.758663,-73.981329,Uptown & The Bronx - Queens,Downtown & Brooklyn,"Y"
49 ST-NQRW,10,R15,BMT,Broadway - Brighton,49 St,M,N R W,Subway,40.759901,-73.984139,Uptown & Queens,Downtown & Brooklyn,"Y"
5 AV/53 ST-EM,276,F12,IND,Queens Blvd,5 Av/53 St,M,E M,Subway,40.760167,-73.975224,Queens,Downtown & Brooklyn,"Y"
5 AV/59 ST-NQRW,8,R13,BMT,Astoria,5 Av/59 St,M,N W R,Subway,40.764811,-73.973347,Queens,Downtown & Brooklyn,"Y"
50 ST-1,316,126,IRT,Broadway - 7Av,50 St,M,1,Subway,40.761728,-73.983849,Uptown & The Bronx,Downtown,"Y"
50 ST-CE,162,A25,IND,8th Av - Fulton St,50 St,M,C E,Subway,40.762456,-73.985984,Uptown - Queens,Downtown & Brooklyn,"Y"
